Column1,title
0,ダンベル何キロ持てる？
1,鬼滅の刃
2,ロード・エルメロイⅡ世の事件簿 -魔眼蒐集列車 Grace note-
3,ソウナンですか？
4,女子高生の無駄づかい
5,まちカドまぞく
6,ダンジョンに出会いを求めるのは間違っているだろうかⅡ
7,手品先輩
8,魔王様、リトライ！
9,可愛ければ変態でも好きになってくれますか？
10,ありふれた職業で世界最強
11,通常攻撃が全体攻撃で二回攻撃のお母さんは好きですか？
12,荒ぶる季節の乙女どもよ。
13,Ｄｒ．ＳＴＯＮＥ
14,Re:ステージ！ ドリームデイズ♪
15,戦姫絶唱シンフォギアＸＶ
16,彼方のアストラ
17,異世界チート魔術師
18,とある科学の一方通行
19,BEM
20,からかい上手の高木さん②
21,炎炎ノ消防隊
22,コップクラフト
23,この世の果てで恋を唄う少女YU-NO
24,ナカノヒトゲノム【実況中】
25,あんさんぶるスターズ！
26,グランベルム
27,指先から本気の熱情-幼なじみは消防士-
28,博多明太！ぴりからこちゃん
29,胡蝶綺～若き信長～
30,うちの娘の為ならば、俺はもしかしたら魔王も倒せるかもしれない。
31,フルーツバスケット
32,凹凸世界
33,ダイヤのA actII
34,デュエル・マスターズ！！
35,キラッとプリ☆チャン
36,FAIRY TAILファイナルシリーズ
37,遊☆戯☆王VRAINS
38,映画 この素晴らしい世界に祝福を！紅伝説
39,トライナイツ
40,ブラッククローバー
41,超次元ゲイム ネプテューヌ ～ねぷのなつやすみ～
42,かつて神だった獣たちへ
43,妖怪ウォッチ！（2019新シリーズ）
44,BORUTO-ボルト- NARUTO NEXT GENERATIONS
45,ケンガンアシュラ
46,カードファイト!! ヴァンガード2019
47,ビジネスフィッシュ
48,キラキラハッピー★ひらけ！ここたま
49,ギヴン
50,ヴィンランド・サガ
51,爆丸バトルプラネット
52,スタミュ 第3期
53,フリージ
54,ゲゲゲの鬼太郎 
55,パズドラ 第2シリーズ
56,おしりたんてい
57,ポチっと発明 ピカちんキット
58,闇芝居 7期
59,聖闘士星矢: Knights of the Zodiac
60,ノア 方舟の救世主
61,ざんねんないきもの事典
62,われしょ！?我ら小動物愛護委員会?
63,HERO MASK
64,トロールズ
65,おどるモワイくん
66,むぎゅっと！ブラッククローバー
67,Bラッパーズ ストリート
